in s,C1 in V,C4 in V
-1.20000E-07,4.88281E-02,-5.32988E-01
-1.19800E-07,1.46484E-01,-5.32988E-01
-1.19600E-07,-4.88281E-02,-5.23223E-01
-1.19400E-07,-2.44141E-01,-5.13457E-01
-1.19200E-07,-3.41797E-01,-5.08574E-01
-1.19000E-07,-2.44141E-01,-5.08574E-01
-1.18800E-07,-1.46484E-01,-5.13457E-01
-1.18600E-07,-1.46484E-01,-5.08574E-01
-1.18400E-07,-2.44141E-01,-5.08574E-01
-1.18200E-07,-3.41797E-01,-5.18340E-01
-1.18000E-07,-3.41797E-01,-5.32988E-01
-1.17800E-07,-3.41797E-01,-5.47637E-01
-1.17600E-07,-3.41797E-01,-5.42754E-01
-1.17400E-07,-2.44141E-01,-5.28105E-01
-1.17200E-07,-1.46484E-01,-5.18340E-01
-1.17000E-07,-4.88281E-02,-5.23223E-01
-1.16800E-07,-1.46484E-01,-5.28105E-01
-1.16600E-07,-3.41797E-01,-5.23223E-01
-1.16400E-07,-4.39453E-01,-5.13457E-01
-1.16200E-07,-3.41797E-01,-5.08574E-01
-1.16000E-07,-2.44141E-01,-5.13457E-01
-1.15800E-07,-2.44141E-01,-5.28105E-01
-1.15600E-07,-3.41797E-01,-5.42754E-01
-1.15400E-07,-4.39453E-01,-5.47637E-01
-1.15200E-07,-3.41797E-01,-5.37871E-01
-1.15000E-07,-1.46484E-01,-5.28105E-01
-1.14800E-07,-4.88281E-02,-5.23223E-01
-1.14600E-07,-4.88281E-02,-5.28105E-01
-1.14400E-07,4.88281E-02,-5.32988E-01
-1.14200E-07,4.88281E-02,-5.37871E-01
-1.14000E-07,-4.88281E-02,-5.37871E-01
-1.13800E-07,-2.44141E-01,-5.42754E-01
-1.13600E-07,-3.41797E-01,-5.42754E-01
-1.13400E-07,-1.46484E-01,-5.32988E-01
-1.13200E-07,-4.88281E-02,-5.23223E-01
-1.13000E-07,-1.46484E-01,-5.13457E-01
-1.12800E-07,-2.44141E-01,-5.08574E-01
-1.12600E-07,-1.46484E-01,-5.08574E-01
-1.12400E-07,-4.88281E-02,-5.13457E-01
-1.12200E-07,-4.88281E-02,-5.23223E-01
-1.12000E-07,-3.41797E-01,-5.23223E-01
-1.11800E-07,-5.37109E-01,-5.18340E-01
-1.11600E-07,-3.41797E-01,-5.13457E-01
-1.11400E-07,-4.88281E-02,-5.18340E-01
-1.11200E-07,4.88281E-02,-5.28105E-01
-1.11000E-07,-1.46484E-01,-5.32988E-01
-1.10800E-07,-2.44141E-01,-5.28105E-01
-1.10600E-07,-1.46484E-01,-5.18340E-01
-1.10400E-07,-4.88281E-02,-5.13457E-01
-1.10200E-07,-4.88281E-02,-5.13457E-01
-1.10000E-07,-2.44141E-01,-5.18340E-01
-1.09800E-07,-3.41797E-01,-5.28105E-01
-1.09600E-07,-3.41797E-01,-5.37871E-01
-1.09400E-07,-2.44141E-01,-5.37871E-01
-1.09200E-07,-4.88281E-02,-5.37871E-01
-1.09000E-07,4.88281E-02,-5.32988E-01
-1.08800E-07,-4.88281E-02,-5.28105E-01
-1.08600E-07,-3.41797E-01,-5.23223E-01
-1.08400E-07,-4.39453E-01,-5.23223E-01
-1.08200E-07,-3.41797E-01,-5.28105E-01
-1.08000E-07,-1.46484E-01,-5.28105E-01
-1.07800E-07,-1.46484E-01,-5.23223E-01
-1.07600E-07,-3.41797E-01,-5.23223E-01
-1.07400E-07,-4.39453E-01,-5.32988E-01
-1.07200E-07,-3.41797E-01,-5.37871E-01
-1.07000E-07,-1.46484E-01,-5.32988E-01
-1.06800E-07,-4.88281E-02,-5.23223E-01
-1.06600E-07,-4.88281E-02,-5.23223E-01
-1.06400E-07,-1.46484E-01,-5.23223E-01
-1.06200E-07,-2.44141E-01,-5.18340E-01
-1.06000E-07,-2.44141E-01,-5.13457E-01
-1.05800E-07,-1.46484E-01,-5.08574E-01
-1.05600E-07,-2.44141E-01,-5.08574E-01
-1.05400E-07,-4.39453E-01,-5.08574E-01
-1.05200E-07,-4.39453E-01,-5.13457E-01
-1.05000E-07,-1.46484E-01,-5.23223E-01
-1.04800E-07,-4.88281E-02,-5.32988E-01
-1.04600E-07,-2.44141E-01,-5.37871E-01
-1.04400E-07,-4.39453E-01,-5.32988E-01
-1.04200E-07,-4.39453E-01,-5.32988E-01
-1.04000E-07,-3.41797E-01,-5.37871E-01
-1.03800E-07,-4.39453E-01,-5.42754E-01
-1.03600E-07,-5.37109E-01,-5.37871E-01
-1.03400E-07,-3.41797E-01,-5.28105E-01
-1.03200E-07,-1.46484E-01,-5.18340E-01
-1.03000E-07,-4.88281E-02,-5.18340E-01
-1.02800E-07,-1.46484E-01,-5.28105E-01
-1.02600E-07,-1.46484E-01,-5.37871E-01
-1.02400E-07,-1.46484E-01,-5.42754E-01
-1.02200E-07,-2.44141E-01,-5.37871E-01
-1.02000E-07,-3.41797E-01,-5.37871E-01
-1.01800E-07,-2.44141E-01,-5.37871E-01
-1.01600E-07,-1.46484E-01,-5.42754E-01
-1.01400E-07,-1.46484E-01,-5.42754E-01
-1.01200E-07,-2.44141E-01,-5.37871E-01
-1.01000E-07,-2.44141E-01,-5.37871E-01
-1.00800E-07,-1.46484E-01,-5.32988E-01
-1.00600E-07,-1.46484E-01,-5.28105E-01
-1.00400E-07,-2.44141E-01,-5.18340E-01
-1.00200E-07,-3.41797E-01,-5.18340E-01
-1.00000E-07,-2.44141E-01,-5.23223E-01
